IdUnidad,Identificacion,Descripcion,TipoUnidadId
58,AVIR,AVISO ARA COMANDANTE GENERAL IRIGOYEN,1
59,AVTO,AVISO ARA TENIENTE OLIVIERI,1
60,AVBA,AVISO ARA BAHIA AGRADABLE,1
61,AVES,AVISO ARA ESTRECHO SAN CARLOS,1
62,AVIM,AVISO ARA ISLAS MALVINAS,1
63,AVPA,AVISO ARA PUERTO ARGENTINO,1
64,BHAU,BUQUE OCEANOGRAFICO ARA AUSTRAL,2
65,BHCR,BUQUE HIDROGRAFICO ARA COMODORO RIVADAVIA,2
66,BHPD,BUQUE OCEANOGRAFICO ARA PUERTO DESEADO,2
67,BHSH,BUQUE DE INVESTIGACION CIENTIFICA ARA SHENU,2
68,CBDR,CORBETA ARA DRUMMOND,3
69,CBGR,CORBETA ARA GRANVILLE,3
70,CBGU,CORBETA ARA GUERRICO,3
71,CBES,CORBETA ARA ESPORA,3
72,CBRO,CORBETA ARA ROSALES,3
73,CBSP,CORBETA ARA SPIRO,3
74,CBPA,CORBETA ARA PARKER,3
75,CBRB,CORBETA ARA ROBINSON,3
76,CBGO,CORBETA ARA GOMEZ ROCA,3
77,DEAB,DESTRUCTOR ARA ALMIRANTE BROWN,4
78,DELA,DESTRUCTOR ARA LA ARGENTINA,4
79,DESI,DESTRUCTOR ARA SARANDI,4
80,DEHA,DESTRUCTOR ARA HEROÍNA,4
81,FRLI,FRAGATA ARA LIBERTAD,5
82,LGPA,BUQUE LOGISTICO ARA PATAGONIA,6
83,LHCO,LANCHA HIDRIGRAFICA ARA CORMORAN,7
84,LPBD,LANCHA PATRULLERA RAPIDA ARA BARADERO,7
85,LPBQ,LANCHA PATRULLERA RAPIDA ARA BARRANQUERRAS,7
86,LPCL,LANCHA PATRULLERA RAPIDA ARA CLORINDA,7
87,LPCU,LANCHA PATRULLERA RAPIDA ARA CONCEPCION DEL URUGUAY,7
88,LPPM,LANCHA PATRULLERA ARA PUNTA MOGOTES,7
89,LPRS,LANCHA PATRULLERA ARA RIO SANTIAGO,7
90,LPZU,LANCHA PATRULLERA ARA ZURUBI,7
91,LRID,LANCHA RAPIDA ARA INDOMITA,7
92,LRIT,LANCHA RAPITA ARA INTREPIDA,7
93,MPCR,BUQUE MULTIPROPOSITO ARA CIUDAD DE ROSARIO,8
94,MPCZ,BUQUE MULTIPROPOSITO ARA CIUDAD DE ZARATE,8
95,MPPA,BUQUE MULTIPROPOSITO ARA PUNTA ALTA,8
96,PAKI,PATRULLERO ARA KING,9
97,POBD,PATRULLERO OCEANICO ARA BOUCHARD,9
98,POCC,PATRULLERO OCEANICO ARA CONTRAALMIRANTE CORDERO,9
99,POPB,PATRULLERO OCEANICO ARA PIEDRABUENA,9
100,POST,PATRULLERO OCEANICO ARA STORNI,9
101,REQU,REMOLCADOR ARA QUERANDI,10
102,RETO,REMOLCADOR ARA TOBA,10
103,RETU,REMOLCADOR ARA TEHUELCHE,10
104,REZE,REMOLCADOR ARA ZEUS,10
105,REON,REMOLCADOR ARA ONA,10
106,RHAI,ROMPEHIELOS ARA ALMIRANTE IRIZAR,11
107,SUSA,SUBMARINO ARA SALTA,12
108,SUSC,SUBMARINO ARA SANTA CRUZ,12
109,SUSE,SUBMARINO ARA SANTIAGO DEL ESTERO,12
110,SUSF,SUBMARINO ARA SANTA FE,12
111,SUSJ,SUBMARINO ARA SAN JUAN,12
112,TRCB,TRANPORTE ARA CANAL BEAGLE,13
113,TRHE,TRANSPORTE RAPIDO MULTIPROPOSITO ARA HERCULES,13
114,TRSB,TRANSPORTE ARA BAHIA SAN BLAS,13
116,SSSS,SERVICIO SISTEMA SYS SIN,12
117,SSS1,SERVICIO SISTEMA SYS UNO,12
118,SSS2,SERVICIO SISTEMA SYS DOS,12
